HUZ649701.90286	gi|1001942081|gb|131489-132374(+)
HUZ239360.57592	gi|1022831525|gb|38206-39253(+)
648834035	gi|1033016275|gb|8823-10149(-)
SRS019989.508-T1-C	gi|119225778|dbj|40248-41895(+)
HUZ647004.25716	gi|12831080|gb|7858-8806(-)
CHARM154_V2.14399	gi|12831080|gb|7858-8806(-)
423_071706.3927	gi|154622687|gb|129708-130476(-)
HMPREF0528_1296	gi|154622687|gb|164077-164413(-)
644129813	gi|18152331|emb|26133-27357(+)
HUZ643630.48649	gi|190410749|gb|9209-9491(+)
HUZ614244.22163	gi|197311650|gb|155904-156873(+)
CHARM110_V2.16385	gi|26005521|emb|22682-23462(+)
HMPREF9512_02153	gi|270209543|gb|1832-2165(-)
AYAC05W3D7.10533	gi|29378344|gb|527-830(+)
647501832	gi|29425700|gb|18110-24254(+)
2541323157	gi|29425700|gb|39090-39285(+)
CHARM018_V1.46400	gi|295002712|gb|37581-37764(-)
HUZ621105.11322	gi|301153599|gb|238198-238615(+)
414_050806.56376	gi|314912616|gb|2659-3295(+)
CHARM066_V2.53523	gi|3192683|gb|8853-9591(+)
CHARM150_V2.4604	gi|320006194|gb|25758-26847(-)
HUZ605895.7979	gi|347449230|gb|179504-181475(+)
HUZ237575.10951	gi|347449230|gb|37838-38366(+)
HMPREF1372_02050	gi|347449230|gb|72762-73242(+)
HUZ243261.7264	gi|378565749|gb|73331-74594(+)
HUZ252644.54092	gi|38638842|emb|14856-15354(+)
HUZ612660.17267	gi|409647750|dbj|5272-5488(+)
414_050806.14830	gi|409994735|gb|54409-55102(+)
HMP40_W6D2.42154	gi|451937105|gb|37492-38446(+)
CHARM126_V2.7536	gi|451937291|gb|8608-9247(-)
HUZ647004.72289	gi|451939597|gb|3320-4556(-)
HUZ270022.17252	gi|50261575|gb|50205-51771(+)
VM319.53959	gi|50261575|gb|50205-51771(+)
HUZ432496.35166	gi|511624312|gb|27191-27944(+)
HUZ243262.13736	gi|525334607|gb|9-474(+)
HUZ646173.42067	gi|525334607|gb|9-474(+)
VM031.1375	gi|5730257|emb|14014-14641(+)
SRS062520.1813-T1-C	gi|5730257|emb|2834-3161(-)
HUZ649701.94712	gi|656633416|gb|141651-142335(-)
HMP40_W6D2.43955	gi|66733223|gb|22884-23094(-)
HUZ612660.2243	gi|66733223|gb|3139-3889(+)
2512391627	gi|675218243|emb|17425-18046(-)
2520353691	gi|6863111|gb|12747-12972(+)
648679809	gi|694818060|gb|7254-7683(+)
SRS055298.4287-T1-C	gi|695256248|gb|298256-300545(+)
HUZ432496.33385	gi|732169326|emb|18639-21408(+)
CHARM018_V2.4972	gi|735998757|gb|15532-16027(+)
HUZ608549.2807	gi|747267721|gb|22378-23266(-)
HUZ648786.39808	gi|755258722|gb|28814-29570(+)
HUZ252652.13021	gi|761545084|gb|27542-28157(-)
445_020507.7315	gi|761545084|gb|27542-28157(-)
646096417	gi|78675276|dbj|101495-102626(-)
HUZ239360.65104	gi|78675276|dbj|162734-163394(-)
CHARM126_V1.27161	gi|807197662|gb|19009-20545(+)
HUZ649701.76437	gi|823079903|gb|107-2234(+)
HMPREF0693_0102	gi|84570702|dbj|35422-35887(+)
414_050806.55668	gi|919048628|gb|14100-14517(+)
HUZ433466.39173	gi|919050038|gb|43927-44338(+)
HUZ436911.42113	gi|921957946|gb|39297-40050(+)
2520352572	gi|927657526|dbj|1720-2065(+)
HUZ237575.49735	gi|94483024|gb|6050-7637(+)
HUZ268380.5224	gi|953699450|gb|27757-28471(+)
CHARM066_V2.50556	gi|974131680|gb|1070-2756(+)
HUZ239360.43198	gi|974131680|gb|1070-2756(+)
HUZ649701.77543	gi|974132130|gb|50823-51630(+)
HUZ433466.10627	gi|985789895|gb|1652-2906(+)
CHARM018_V1.18807	gi|985789895|gb|1652-2906(+)
HUZ651102.42880	mge|2047.1|18746-23534(-)
HUZ649701.78861	mge|2067.1|40798-42283(+)
2625497551	mge|2081.1|22336-22537(+)
HUZ436911.56751	mge|2087.1|0-1563(-)
2535593272	mge|2087.1|24598-24841(-)
HUZ235500.2462	mge|2087.1|24598-24841(-)
HUZ649360.6146	mge|2087.1|32717-35066(-)
HUZ265136.32092	mge|2087.1|9456-9873(-)
HUZ649701.71509	mge|2089.1|0-774(-)
2600715124	mge|2090.1|70093-71551(+)
CHARM018_V2.5080	mge|2090.1|71567-73100(+)
CHARM066_V2.41667	mge|2090.1|71567-73100(+)
CHARM018_V2.60487	mge|2090.1|86363-87890(+)
HUZ614244.25999	mge|2124.1|1747-3682(+)
HUZ649701.60348	mge|2124.1|1747-3682(+)
2515431819	mge|2137.1|0-1068(-)
CHARM198_V1.2043	mge|2155.1|16492-18775(-)
HUZ614244.19518	mge|2198.1|19021-19882(-)
HMPREF0693_2167	mge|2240.1|46140-47001(+)
2514523123	mge|2253.1|13367-15275(+)
HUZ433466.22574	mge|2260.1|6931-8854(-)
HUZ650302.52408	mge|2261.1|3464-4952(+)
423_071706.1875	mge|2262.1|43523-44480(-)
HUZ649701.90140	mge|2276.1|15628-17794(+)
CHARM066_V2.35947	mge|2276.1|22060-22750(+)
2546876551	mge|2276.1|25305-25647(+)
HUZ270021.63307	mge|2276.1|38754-40239(+)
HUZ432163.53142	mge|2276.1|9793-10075(+)
HMPREF0291_10387	mge|2293.1|19266-20172(-)
CHARM066_V1.10712	mge|2297.1|10240-10621(-)
HUZ268383.7407	mge|2364.1|11257-11836(+)
HUZ270022.46377	mge|2364.1|11257-11836(+)
HUZ252644.24760	mge|2364.1|11257-11836(+)
HUZ644405.66409	mge|2427.1|12192-12651(-)
HUZ265136.11235	mge|2428.1|16463-16700(+)
HUZ432163.33314	mge|2428.1|7439-9056(-)
HUZ436911.15231	mge|2438.1|5771-7157(-)
HUZ432496.5623	mge|2441.1|2595-2868(+)
2517208032	mge|2441.1|2595-2868(+)
SRS052620.967-T1-C	mge|2451.1|0-948(-)
HUZ432163.34446	mge|2455.1|19874-20564(-)
HUZ436911.39926	mge|2455.1|33010-33292(-)
HUZ647004.29746	mge|2456.1|1287-2940(-)
CHARM180_V1.27574	mge|2464.1|6074-6728(+)
HMPREF0358_2573	mge|2471.1|2742-3768(-)
